Avg. Loss valid: 4.6872, Avg. Perplexity valid: 108.5750,     BLEU-1: 0.00, BLEU-2: 0.00, BLEU-3: 0.00, BLEU-4: 0.00
Avg. Loss valid: 4.1586, Avg. Perplexity valid: 64.0768,     BLEU-1: 0.00, BLEU-2: 0.05, BLEU-3: 0.14, BLEU-4: 0.23
Avg. Loss valid: 4.5694, Avg. Perplexity valid: 96.7560,     BLEU-1: 0.03, BLEU-2: 0.17, BLEU-3: 0.31, BLEU-4: 0.42
Avg. Loss valid: 3.9635, Avg. Perplexity valid: 52.7269,     BLEU-1: 0.41, BLEU-2: 0.35, BLEU-3: 0.31, BLEU-4: 0.42
Avg. Loss valid: 3.4439, Avg. Perplexity valid: 31.3537,     BLEU-1: 0.47, BLEU-2: 0.43, BLEU-3: 0.39, BLEU-4: 0.49
Avg. Loss valid: 3.3705, Avg. Perplexity valid: 29.1522,     BLEU-1: 0.47, BLEU-2: 0.44, BLEU-3: 0.38, BLEU-4: 0.48
Avg. Loss valid: 2.9305, Avg. Perplexity valid: 18.7733,     BLEU-1: 0.51, BLEU-2: 0.48, BLEU-3: 0.45, BLEU-4: 0.55
Avg. Loss valid: 2.9678, Avg. Perplexity valid: 19.4878,     BLEU-1: 0.50, BLEU-2: 0.47, BLEU-3: 0.33, BLEU-4: 0.44
Avg. Loss valid: 3.1624, Avg. Perplexity valid: 23.7449,     BLEU-1: 0.48, BLEU-2: 0.42, BLEU-3: 0.37, BLEU-4: 0.48
Avg. Loss valid: 2.8445, Avg. Perplexity valid: 17.2147,     BLEU-1: 0.49, BLEU-2: 0.45, BLEU-3: 0.42, BLEU-4: 0.52
Avg. Loss valid: 2.7421, Avg. Perplexity valid: 15.5607,     BLEU-1: 0.50, BLEU-2: 0.45, BLEU-3: 0.40, BLEU-4: 0.50
Avg. Loss valid: 2.4540, Avg. Perplexity valid: 11.6442,     BLEU-1: 0.50, BLEU-2: 0.49, BLEU-3: 0.46, BLEU-4: 0.56
Avg. Loss valid: 2.4103, Avg. Perplexity valid: 11.1568,     BLEU-1: 0.51, BLEU-2: 0.47, BLEU-3: 0.44, BLEU-4: 0.54
Avg. Loss valid: 2.5576, Avg. Perplexity valid: 12.9308,     BLEU-1: 0.53, BLEU-2: 0.47, BLEU-3: 0.43, BLEU-4: 0.53
Avg. Loss valid: 2.3218, Avg. Perplexity valid: 10.2116,     BLEU-1: 0.50, BLEU-2: 0.48, BLEU-3: 0.45, BLEU-4: 0.55
